源系统,源系统负责人,数据需求,对象类型,"数据库对象编码
（数据库.表、数据库.视图...）",数据库对象名称,字段需求（包含）,计划完成时间,实际完成时间,授权状态,"需求
提出人","入湖
负责人",开发复核负责人,备注,用户数据需求问题,用户数据需求问题反馈,中台ods表名,全量/增量,源系统抽取条件,增量方式,更新频率,任务,同步父任务流,"测试环境数据量
（同时标注时长超过5分钟的）"
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,经济补偿金录入,表,经济补偿金录入{B0401},经济补偿金录入,如果B0501不好取，看能否直接取这张表，取B0501主要是获取手工调整数,,,暂时用不到,陈迎颖,,,(ACT05),,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,前海投资公司录入,表,前海投资公司录入{B0404}、,前海投资公司录入,如果B0501不好取，看能否直接取这张表，取B0501主要是获取手工调整数,,,暂时用不到,陈迎颖,,,(ACT05),,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,美国子公司数据录入,表,美国子公司数据录入{FF001},美国子公司数据录入,如果B0501不好取，看能否直接取这张表，取B0501主要是获取手工调整数,,,暂时用不到,陈迎颖,,,ACT02,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取费用待分摊金额,表,"B0101→【报表费用科目预算查看表_区分销管研制-按明细部门列式】
预算编制流程/全融合_汇总/费用预算查看流程",费用预算查看,"U PROJECT: IDES(项目合计)
U ACCOUNT:IDES(SAP费用科目合计)
U CATEGORY:年初目标版
U CURRENCY:人民币
U CUSTOMER: 客户缺省
U ENTITY:IDES(全融合 汇总)
U MATERIAL: 物料缺省
U MISC1:预算编制不区分
U MISC2:无产品(禁止录入数据)
U PRODUCT: 产品缺省
U SPARE1:预算备用维
U SPARE2:备用维2缺省
U TIME: BASE(2025.Total)
MEASURS：Periodic",,,,陈迎颖,,,"实际数调整ACT03
预算参考版待确认",,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取费用待分摊金额,RFC,"ZHONE_GET_MODEL_DATA_02
入参：从2024年开始取数
IV_ZID：U_002
IT_DATA：
① DIMENSION：U_TIME
ATTRIBUTE：BAS
VALUE：入参年.Total
② DIMENSION：U_CATEGORY
ATTRIBUTE：ID
VALUE：B00",B0101-SAP费用科目预算查看表-按明细部门展示（年初目标版）,"配置表信息：
U_ACCOUNT:HIE(TotalExpenses02)
U_CATEGORY:ID(B00)
U_CURRENCY:ID(CNY)
U_CUSTOMER:ID(CS_NONE)
U_ENTITY:HIE(GBG01_Total)
U_MATERIAL:ID(M_NONE)
U_MISC1:ID(MISC1_NONE)
U_MISC2:ID(MISC2_NONE)
U_PRODUCT:ID(PROD_NONE)
U_PROJECT:HIE(PJ_ALL)
U_SPARE1:ID(SP1_NONE)
U_SPARE2:ID(SP2_NONE)",2025-12-16 00:00:00,,已授权（生产环境）,陈迎颖,谭程俊,,稍等,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取部门的毛利，收入预算,表,"B0201→【销售预算查看表】
预算编制流程/全融合_汇总/销售预算查看表",销售预算查看表,"U PROJECT: IDES(项目合计)
U ACCOUNT:收入，成本
U CATEGORY:年初目标版，实际数调整后（ACT01+ACT02+ACT04+ACT05）
U CURRENCY:人民币
U CUSTOMER: 客户缺省
U ENTITY:IDES(全融合 汇总)
U MATERIAL: 物料缺省
U MISC1:预算编制不区分
U MISC2:IDES(产品线合计)
U PRODUCT: 产品缺省
U SPARE1:预算备用维
U SPARE2:备用维2缺省
U TIME: BASE(YEAR)
MEASURS：Periodic",,,,陈迎颖,,,"手工录入的，想要什么数据录入什么数据，无实际参考意义。AC01/AC02
预算系统的数仅到区域粒度，但实际需要到省份区域的数",,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取部门的毛利，收入预算-年初目标版,RFC,"ZHONE_GET_MODEL_DATA_02
入参：从2024年开始取数
IV_ZID：U_003
IT_DATA：
① DIMENSION：U_TIME
ATTRIBUTE：BAS
VALUE：入参年.Total
② DIMENSION：U_CATEGORY
ATTRIBUTE：ID
VALUE：B00",B0201-销售预算查看表（年初目标版）,"配置信息：
U_ACCOUNT:ID(AC01)
U_ACCOUNT:ID(AC02)
U_CURRENCY:ID(CNY)
U_CUSTOMER:ID(CS_NONE)
U_ENTITY:HIE(GBG01_Total)
U_MATERIAL:ID(M_NONE)
U_MISC1:ID(MISC1_NONE)
U_MISC2:HIE(PDL_ALL)
U_PRODUCT:ID(PROD_NONE)
U_PROJECT:HIE(PJ_ALL)
U_SPARE1:ID(SP1_NONE)
U_SPARE2:ID(SP2_NONE)",2025-12-16 00:00:00,,已授权（生产环境）,陈迎颖,谭程俊,,稍等,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取部门的毛利，收入预算-实际数调整后,RFC,"ZHONE_GET_MODEL_DATA_02
入参：从2024年开始取数
IV_ZID：U_003
IT_DATA：
① DIMENSION：U_TIME
ATTRIBUTE：BAS
VALUE：入参年.Total
② DIMENSION：U_CATEGORY
ATTRIBUTE：ID
VALUE：ACT03",B0201-销售预算查看表（实际数调整后）,"配置信息：
U_ACCOUNT:ID(AC01)
U_ACCOUNT:ID(AC02)
U_CURRENCY:ID(CNY)
U_CUSTOMER:ID(CS_NONE)
U_ENTITY:HIE(GBG01_Total)
U_MATERIAL:ID(M_NONE)
U_MISC1:ID(MISC1_NONE)
U_MISC2:HIE(PDL_ALL)
U_PRODUCT:ID(PROD_NONE)
U_PROJECT:HIE(PJ_ALL)
U_SPARE1:ID(SP1_NONE)
U_SPARE2:ID(SP2_NONE)",2025-12-16 00:00:00,,已授权（生产环境）,陈迎颖,谭程俊,,稍等,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取国际/国内平台费用-职能平台的实际收入,表,"B0402
实际数手工调整流程/全融合_汇总/实际数流程/收入&成本实际数录入",销售实际编制表,此为编制表，可在B0201取数,2025-11-28 00:00:00,,暂时用不到,陈迎颖,,,待确认,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,预算费用科目维,RFC,"RFC: ZHONE_GET_DIMENSION_ATTRIBUTE
I_APPSET  = UNILUMIN_CONS
I_DIM = U_ACCOUNT
I_ATTR_LIST = ID,EVDESCRIPTION",,,2025-12-02 00:00:00,,已入湖（测试）,佘伟萍,蔡岸榕,,ZHONE_GET_DIMENSION_ATTRIBUTE,,,,,,,,,,1001
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,预算实体维度,RFC,"RFC: ZHONE_GET_DIMENSION_ATTRIBUTE
I_APPSET  = UNILUMIN_CONS
I_DIM = U_ENTITY
I_ATTR_LIST = ID,EVDESCRIPTION",,,2025-12-02 00:00:00,,已入湖（测试）,佘伟萍,蔡岸榕,,,,,,,,,,,,5708
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,费用预算,,,,"是否B0101、B0201已包含？
对BPC数据整体需求是：预算科目主数据、BPC科目与SAP科目映射关系、费用预算明细以及合并节点调整数（如有）、收入预算明细以及合并节点调整数（如有）；费用实际数",,,暂时用不到,佘伟萍,,,跟年初预算对比，B00预算版本,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,收入预算,,,,"是否B0101、B0201已包含？
对BPC数据整体需求是：预算科目主数据、BPC科目与SAP科目映射关系、费用预算明细以及合并节点调整数（如有）、收入预算明细以及合并节点调整数（如有）；费用实际数",,,暂时用不到,佘伟萍,,,B00预算版本，AC01,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,登录数据（核心方使用）,表,USR02,登录数据（核心方使用）,,2025-11-21 00:00:00,2025-11-24 00:00:00,已入湖（测试）,许凯文,谭程俊,李朝中,,,,ods_sap_bpc_usr02_df,全量,MANDT='700',,t+1,ods_sap_bpc_usr02_df,,49
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,主数据映射表,表,ZTBPC001,,,2025-12-12 00:00:00,,已入湖（测试）,佘伟萍,李朝中,,,,,ods_sap_bpc_ztbpc001_df,全量,MANDT='700',,,ods_sap_bpc_ztbpc001_df,,1146
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,学术头衔（办公地址服务）（账号类型）,表,TSAD2,用户账号类型代码,,2025-12-10 00:00:00,,已入湖（测试）,许凯文,李朝中,,,,,ods_sap_bpc_tsad2_df,全量,,,,ods_sap_bpc_tsad2_df,,15
SRM,龚晨,用户表,表,srm_sit.els_subaccount_info,用户表,,2025-10-31 00:00:00,2025-11-05 00:00:00,已入湖（测试）,许凯文,赵彦,谭程俊,,,,ods.ods_srm_els_subaccount_info_df,全量,,,,,,
SRM,龚晨,角色表,表,srm_sit.els_role,角色表,,2025-10-31 00:00:00,2025-11-05 00:00:00,已入湖（测试）,许凯文,赵彦,谭程俊,,,,ods.ods_srm_els_role_df,全量,,,,,,
SRM,龚晨,用户角色关联表,表,srm_sit.els_user_role,用户角色关联表,,2025-10-31 00:00:00,2025-11-05 00:00:00,已入湖（测试）,许凯文,赵彦,谭程俊,,,,ods.ods_srm_els_user_role_df,全量,,,,,,
SRM,龚晨,物料补录价格,,,,,,,,邵炜杰,,,,,,,,,,,,,
APS,张家港,替代关系表,表,"预计十一月底能够进行数据库直连
ESCP_INF_O_DATACENTER_SubstitutMaterials
源系统更改表名
ESCP_INF_DATACENTER_O_SubstitutMaterials",替代关系表,,2025-11-28 00:00:00,,已入湖（测试）,邵炜杰,蔡岸榕,,11月底配置数据库，但是无替代关系数据,,,,,,,,,,55
APS,张家港,,,,,,,,未开始,,,,,,,,,,,,,,
APS,张家港,,,,,,,,未开始,,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,用户表,,销售易暂无系统,,,,,未开始,许凯文,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,角色表,,销售易暂无系统,,,,,未开始,许凯文,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,用户角色关联表,,销售易暂无系统,,,,,未开始,许凯文,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,线索明细、线索转化,,销售易暂无系统,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,商机明细、商机转化,,销售易暂无系统,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,销售合同清单,,销售易暂无系统,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,渠道协议清单,,销售易暂无系统,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,销售订单明细,,销售易暂无系统,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,B2B-【进销存-分销库存明细】,,销售易暂无系统,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,客户主数据（含渠道客户）,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,服务商,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,市场活动,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,UCE认证,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,服务工单,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,客诉工单,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,,,,,,,,未开始,佘伟萍,,,,,,,,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,配置清单&报价单信息,API,https://api.xiaoshouyi.com/rest/data/v2.0/scripts/api/cpq/quotation,报价单接口,接口文档：https://u0vocx8xrmg.feishu.cn/file/LtU5bBpevoaaymxzadxcYfccnug,2025-11-28 00:00:00,,已入湖（测试）,邵炜杰,赵彦,,12.2已提供接口信息，但由于CRM无系统，销售订单字段缺失，中台预留字段开发,,,ods.ods_xsycrm_quotation_di,增量,,,,,,
"XSYCRM
（CPQ）
仅对接生产",林佳鸿,定制虚拟编号和PCI的对应关系,,不在对方一期范围，大概要排到一月底,,,2025-11-28 00:00:00,,未开始,邵炜杰,,,,,,,,,,,,,
"HLY
仅对接生产",陈海棠,用户表,API,https://opendocsuat.huilianyi.com/implement/master-data/staff/select-employee-by-employeeId.html,查询员工,,2025-10-31 00:00:00,2025-11-12 00:00:00,已入湖（测试）,许凯文,饶嘉璇,刘洋,,,,,,,,,,,
"HLY
仅对接生产",陈海棠,角色表,API,https://opendocsuat.huilianyi.com/implement/master-data/userGroup/query-userGroup-by-tenant.html,查询租户下人员组,,2025-10-31 00:00:00,2025-11-12 00:00:00,已入湖（测试）,许凯文,饶嘉璇,刘洋,,,,,,,,,,,
"HLY
仅对接生产",陈海棠,用户角色关联表,API,https://opendocsuat.huilianyi.com/implement/master-data/userGroup/query-userGroup-by-user.html,查询用户所属人员组,,2025-10-31 00:00:00,2025-11-12 00:00:00,已入湖（测试）,许凯文,饶嘉璇,刘洋,,,,,,,,,,,
"HLY
仅对接生产",陈海棠,费用项目,,,,,2025-12-01 00:00:00,,暂时用不到,佘伟萍,,,跟sap科目一致,,,,,,,,,,
"HLY
仅对接生产",陈海棠,对公支付单明细报表,API,"https://opendocs.huilianyi.com/implement/report-data/CorpExpDetailReport.html
其中 必填项 setOfBooksCode =DEFAULT_SOB",对公支付单明细报表,,2025-11-25 00:00:00,2025-11-24 00:00:00,已入湖（测试）,陈迎颖,谭程俊,刘洋,,,,"ods_hly_corp_exp_detail_di
",增量,page=0是第一页开始，startDate从20220601起有数,增量同步最近10天变动明细写入stg表，di表删除stg 表有变动的报销单明细最后合并；每周全量一次兜底,t+1,"ods_hly_corp_exp_detail_di
ods_hly_corp_exp_detail_di_full(初始化)",,63603
"HLY
仅对接生产",陈海棠,费用明细台账,API,https://opendocsuat.huilianyi.com/implement/report-data/ExpenseDetailsReport.html,费用明细报表,,2025-11-25 00:00:00,2025-11-25 00:00:00,已入湖（测试）,佘伟萍,谭程俊,刘洋,,,,"ods_hly_corp_exp_detail_di
",增量,page=0是第一页开始，startDate从20200701起有数,增量同步最近10天变动明细写入stg表，di表删除stg 表有变动的报销单明细最后合并;每周全量一次兜底,T+1,"ods_hly_corp_exp_detail_di
",,630209
"BI
仅对接生产",蔡岸榕,用户表,视图,finedb.view_fine_user_hone,,,2025-10-31 00:00:00,2025-10-29 00:00:00,已入湖（测试）,许凯文,赵彦,李朝中,,缺少状态字段（是否禁用、是否启用，enable字段是否是状态字段，enable字段0、1分别代表什么含义）,enable：1-有效，0-无效,ods_bi_view_fine_user_hone_df,全量,,,T+1,ods_bi_view_fine_user_hone_df,,549
"BI
仅对接生产",蔡岸榕,角色表,视图,finedb.view_fine_custom_role_hone,,,2025-10-31 00:00:00,2025-10-29 00:00:00,已入湖（测试）,许凯文,赵彦,李朝中,,,,ods_bi_view_fine_custom_role_hone_df,全量,,,T+1,ods_bi_view_fine_custom_role_hone_df,,303
"BI
仅对接生产",蔡岸榕,用户角色关联表,视图,finedb.view_fine_user_role_middle_hone,,,2025-10-31 00:00:00,2025-10-29 00:00:00,已入湖（测试）,许凯文,赵彦,李朝中,,,,ods_bi_view_fine_user_role_middle_hone_df,全量,,,T+1,ods_bi_view_fine_user_role_middle_hone_df,,"	
1630"
"BI
仅对接生产",蔡岸榕,损耗率填报表,表,hone_import.report_fr_loss_rate,,,2025-12-12 00:00:00,2025-12-11 00:00:00,已入湖（测试）,邵炜杰,谭程俊,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,制费率填报表,表,hone_import.report_fr_manu_fee_rate,,,2025-12-12 00:00:00,2025-12-11 00:00:00,已入湖（测试）,邵炜杰,谭程俊,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,供货比例填报表,表,hone_import.report_fr_supply_ratio,,,2025-12-12 00:00:00,2025-12-11 00:00:00,已入湖（测试）,邵炜杰,谭程俊,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,基准价调整值填报表,表,,,,,,,邵炜杰,,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,定制-损耗率填报表,表,,,,2025-12-12 00:00:00,,未开始,邵炜杰,,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,定制-损耗率填报表,表,,,,2025-12-12 00:00:00,,未开始,邵炜杰,,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,定制-基准价调整值填报表,表,,,,,,,邵炜杰,,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,定制-定制费用填报表,表,,,,,,,,,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,Sparts价格填报表,表,,,,,,,,,,,,,,,,,,,,
"BI
仅对接生产",蔡岸榕,各系统账号状态映射表,表,hone_import.report_sys_state_mapping,各系统账号状态映射表,,2025-12-08 00:00:00,,已入湖（测试）,郑日天,李朝中,刘洋,,,,ods_bi_report_sys_state_mapping_df,全量,,,T+1,ods_bi_report_sys_state_mapping_df,,32
"BI
仅对接生产",蔡岸榕,账号类型字典表,表,hone_import.report_dic_account_type,账号类型字典表,,2025-12-08 00:00:00,,已入湖（测试）,郑日天,李朝中,刘洋,,,,ods_bi_report_dic_account_type_df,全量,,,T+1,ods_bi_report_dic_account_type_df,,9
PBI,,产品目录树,,十一月底提供表结构，暂定十二月底数据库能够链接,产品目录树,,2025-12-26 00:00:00,,未开始,邵炜杰,,,,,,,,,,,,,
PBI,,,,,,,,,未开始,,,,,,,,,,,,,,
PBI,,,,,,,,,未开始,,,,,,,,,,,,,,
合同管理系统,,,,,,,,,,,,,,,,,,,,,,,
